employeeid,officeid,firstname,lastname,role,email,phonenumber,salary
86,19,Crystal,Wilson,Support,sextonalejandro@example.org,6965556348,57108
87,20,Sierra,Garcia,Admin,vvaughn@example.org,8822052278,108211
88,1,Jenna,Fry,Support,richardlewis@example.com,8853357962,99794
89,15,Nicole,Johnson,Agent,vincentjones@example.net,9678008549,97638
90,5,Jacob,Pacheco,Manager,ginapatterson@example.org,7834547911,106784
91,20,Cheryl,Castro,Agent,torresjennifer@example.net,9463103050,45180
92,16,Denise,Miller,Manager,jessicawood@example.org,4776302651,98520
93,20,Shawn,Dawson,Agent,laneroger@example.net,9067304842,106583
94,20,Anthony,Tate,Admin,christopher21@example.com,2999076269,91077
95,11,Amanda,Myers,Admin,shaun67@example.net,6588397004,87769
96,15,Emily,White,Agent,deanna97@example.net,9267871672,81182
97,18,Debra,Brennan,Admin,zlewis@example.net,0012569635,121208
98,20,Emma,Trujillo,Agent,forbesjeremy@example.com,5654706658,50980
99,13,Kelly,Campbell,Admin,richardevans@example.org,0018457520,107334
100,11,Dennis,Johnson,Support,kimnicole@example.com,5438368902,120434
