Listing ID,Employee Name,Client Name,Date of Transaction,Status,Final Price,Agent Fee Percentage
8458312431,"White, Gregory","Harris, Jacqueline",2023-05-14,pending sale,,
8458312431,"White, Gregory","Harris, Jacqueline",2023-05-15,sold,1437352.58,5.996209450325223
8496767931,"Cruz, Pamela","Ochoa, Maria",2022-09-23,pending sale,,
8496767931,"Cruz, Pamela","Ochoa, Maria",2022-10-18,sold,1270327.88,4.001004123826511
5425021848,"White, Gregory","Guerrero, Lori",2022-04-05,pending sale,,
5425021848,"White, Gregory","Guerrero, Lori",2022-04-10,sold,1498180.43,3.8731860336613217
4293127714,"Barnes, Michael","Henry, Kevin",2022-10-05,pending rental,,
4293127714,"Barnes, Michael","Henry, Kevin",2022-10-30,rented,4064.26,100
3596690783,"Walsh, Timothy","Riley, Cody",2021-09-23,pending sale,,
3596690783,"Walsh, Timothy","Riley, Cody",2021-10-21,sold,1710664.72,4.872908709860039
4868521650,"Olson, Andrea","Buchanan, Philip",2022-02-11,pending sale,,
4868521650,"Olson, Andrea",,2022-03-10,relisted,,
7210091651,"Miller, Danielle","Smith, Matthew",2022-10-28,pending rental,,
7210091651,"Miller, Danielle",,2022-11-10,relisted,,
4398539497,"Skinner, Aaron","Reyes, Laura",2023-06-01,pending sale,,
4398539497,"Skinner, Aaron",,2023-06-09,relisted,,
2693365110,"Hines, Monica","Griffin, Jason",2021-09-02,pending rental,,
2693365110,"Hines, Monica","Griffin, Jason",2021-09-14,rented,2566.67,100
2025449936,"Smith, Joshua","Hernandez, Sarah",2023-08-31,pending sale,,
2025449936,"Smith, Joshua",,2023-09-10,relisted,,
1236473873,"Williams, Kristy","Gonzalez, Brenda",2024-02-09,pending rental,,
1236473873,"Williams, Kristy",,2024-03-01,relisted,,
7204092674,"Holland, Kristy","Johnson, Keith",2022-07-28,pending rental,,
7204092674,"Holland, Kristy",,2022-08-23,relisted,,
2580001556,"Kane, Diana","Collins, Zachary",2023-04-18,pending rental,,
2580001556,"Kane, Diana","Collins, Zachary",2023-05-09,rented,3538.46,100
8927542093,"Meyer, Valerie","Mitchell, Thomas",2022-12-24,pending sale,,
8927542093,"Meyer, Valerie",,2023-01-04,relisted,,
9557135220,"Hopkins, Andrew","Aguilar, James",2021-11-19,pending sale,,
9557135220,"Hopkins, Andrew","Aguilar, James",2021-11-21,sold,1703219.59,5.180739556343605
2936978259,"Harris, Jennifer","Love, Susan",2024-03-28,pending sale,,
2936978259,"Harris, Jennifer",,2024-04-27,relisted,,
4679748328,"Barrett, Joy","Gonzalez, Richard",2021-11-25,pending sale,,
4679748328,"Barrett, Joy","Gonzalez, Richard",2021-12-09,sold,1481946.94,5.581287274924955
7925025954,"Johnson, Angelica","Dillon, Ryan",2022-01-19,pending rental,,
7925025954,"Johnson, Angelica",,2022-02-05,relisted,,
6331215515,"Mccann, Wendy","Griffin, Kevin",2024-01-17,pending sale,,
6331215515,"Mccann, Wendy","Griffin, Kevin",2024-01-22,sold,1392642.49,4.411964095344413
3953411867,"Obrien, Stephanie","Johnson, Melissa",2022-06-10,pending sale,,
3953411867,"Obrien, Stephanie","Johnson, Melissa",2022-07-07,sold,726845.25,5.4805950887051615
5377749017,"Bradley, Michael","Evans, Daniel",2022-02-10,pending sale,,
5377749017,"Bradley, Michael","Evans, Daniel",2022-02-14,sold,1343200.82,4.424161896076446
4644732617,"Gonzales, Catherine","Barrera, Michael",2022-07-04,pending sale,,
4644732617,"Gonzales, Catherine",,2022-07-17,relisted,,
7417954500,"Cruz, Connie","White, Ryan",2023-10-08,pending sale,,
7417954500,"Cruz, Connie","White, Ryan",2023-11-02,sold,1810360.37,5.003063899051704
1082010807,"Walsh, Timothy","Santiago, Kevin",2023-08-18,pending sale,,
1082010807,"Walsh, Timothy",,2023-08-26,relisted,,
7758397811,"Cruz, Pamela","Vaughan, Antonio",2023-03-28,pending rental,,
7758397811,"Cruz, Pamela",,2023-04-08,relisted,,
5962655423,"Shaw, Thomas","Gardner, Ashley",2023-01-16,pending rental,,
5962655423,"Shaw, Thomas","Gardner, Ashley",2023-01-23,rented,4641.5,100
7258788948,"Patton, Colton","Green, Karen",2021-09-10,pending sale,,
7258788948,"Patton, Colton","Green, Karen",2021-09-16,sold,905253.29,5.309727028935003
2115444271,"Wise, David","Harris, Joshua",2023-03-12,pending sale,,
2115444271,"Wise, David","Harris, Joshua",2023-04-06,sold,791631.2,5.865767305951348
3469034358,"Lee, Melissa","Davis, Heidi",2022-07-09,pending rental,,
3469034358,"Lee, Melissa",,2022-07-19,relisted,,
1248015752,"Coffey, Patrick","Peterson, Alison",2022-10-04,pending sale,,
1248015752,"Coffey, Patrick",,2022-10-30,relisted,,
3601870113,"Murillo, Lydia","Morrison, Timothy",2023-03-09,pending sale,,
3601870113,"Murillo, Lydia","Morrison, Timothy",2023-03-18,sold,1769152.29,5.488748953688224
5075844929,"Tanner, Sean","Moore, Harold",2023-02-26,pending sale,,
5075844929,"Tanner, Sean","Moore, Harold",2023-02-27,sold,1690195.82,4.975949915116641
3904811704,"Parker, Stephanie","Smith, Scott",2022-11-12,pending sale,,
3904811704,"Parker, Stephanie","Smith, Scott",2022-11-29,sold,383521.48,3.4545732382302505
2768414904,"Collins, Briana","Adams, Emily",2023-09-08,pending rental,,
2768414904,"Collins, Briana","Adams, Emily",2023-09-25,rented,2187.42,100
7678323258,"Ross, Patricia","Miles, James",2022-04-07,pending sale,,
7678323258,"Ross, Patricia",,2022-04-26,relisted,,
2234421919,"Shaffer, Jacqueline","Carlson, William",2024-03-03,pending rental,,
2234421919,"Shaffer, Jacqueline","Carlson, William",2024-03-05,rented,4524.16,100
5954345437,"Brennan, Lindsay","Thomas, Christopher",2023-06-02,pending sale,,
5954345437,"Brennan, Lindsay",,2023-06-06,relisted,,
4772771232,"Taylor, Richard","Black, Paul",2023-12-06,pending sale,,
4772771232,"Taylor, Richard",,2023-12-17,relisted,,
1465441966,"Barnes, Michael","Conner, Jocelyn",2021-09-09,pending sale,,
1465441966,"Barnes, Michael",,2021-10-04,relisted,,
4338378264,"Ross, Patricia","Daniels, Lauren",2022-01-22,pending rental,,
4338378264,"Ross, Patricia","Daniels, Lauren",2022-02-01,rented,3643.23,100
6297058106,"Paul, Ashley","Hill, James",2023-04-13,pending sale,,
6297058106,"Paul, Ashley",,2023-05-10,relisted,,
8119868273,"Cordova, Virginia","Quinn, Brian",2022-12-03,pending rental,,
8119868273,"Cordova, Virginia","Quinn, Brian",2022-12-16,rented,5738.27,100
2630626433,"Williams, Kristy","Richards, Brittany",2024-04-14,pending sale,,
2630626433,"Williams, Kristy","Richards, Brittany",2024-04-29,sold,1581091.52,3.88950178000508
2890928519,"Coffey, Patrick","Huber, Kyle",2021-11-21,pending rental,,
2890928519,"Coffey, Patrick","Huber, Kyle",2021-12-09,rented,3347.62,100
9103974633,"Fry, Joseph","Garcia, Sandra",2023-03-27,pending sale,,
9103974633,"Fry, Joseph","Garcia, Sandra",2023-04-21,sold,1275111.03,5.714450064645934
5512259345,"Simpson, Christina","Steele, Karen",2022-01-30,pending sale,,
5512259345,"Simpson, Christina",,2022-02-26,relisted,,
9422654202,"Pham, Karen","Peterson, Alison",2024-02-07,pending sale,,
9422654202,"Pham, Karen",,2024-03-08,relisted,,
9297003919,"Andrews, Faith","Shannon, Richard",2024-04-09,pending sale,,
9297003919,"Andrews, Faith","Shannon, Richard",2024-05-08,sold,1774998.44,4.022358007152987
9045845380,"Garcia, Hannah","Edwards, Wanda",2021-09-08,pending rental,,
9045845380,"Garcia, Hannah","Edwards, Wanda",2021-09-10,rented,4472.83,100
2973740298,"Murillo, Lydia","Webster, Garrett",2021-11-12,pending sale,,
2973740298,"Murillo, Lydia",,2021-12-06,relisted,,
4752913842,"Cordova, Virginia","Sullivan, Darlene",2021-10-13,pending rental,,
4752913842,"Cordova, Virginia",,2021-10-31,relisted,,
1485249191,"Cox, Kathleen","Cross, Rebecca",2024-01-01,pending sale,,
1485249191,"Cox, Kathleen",,2024-01-05,relisted,,
1633848459,"Howard, Katherine","Thomas, Brian",2021-11-07,pending rental,,
1633848459,"Howard, Katherine",,2021-11-16,relisted,,
1548304257,"Miller, Alejandro","Smith, Jennifer",2021-12-22,pending sale,,
1548304257,"Miller, Alejandro",,2022-01-12,relisted,,
4201984569,"Howard, Katherine","Green, Nicholas",2022-01-27,pending rental,,
4201984569,"Howard, Katherine","Green, Nicholas",2022-02-19,rented,4796.4,100
7468089291,"Collier, James","Patterson, Daniel",2022-10-07,pending sale,,
7468089291,"Collier, James","Patterson, Daniel",2022-10-12,sold,1648235.94,5.376861628085031
2240975027,"Kane, Diana","Thompson, Tammy",2022-12-27,pending sale,,
2240975027,"Kane, Diana","Thompson, Tammy",2022-12-28,sold,815458.27,3.9142415262369297
5493942172,"Paul, Ashley","Bailey, Anthony",2022-10-23,pending sale,,
5493942172,"Paul, Ashley","Bailey, Anthony",2022-10-24,sold,1575212.83,3.8409762138906896
1979903443,"Mccann, Wendy","Hernandez, Donna",2022-12-13,pending rental,,
1979903443,"Mccann, Wendy",,2023-01-07,relisted,,
2536730589,"Cameron, Katie","Lam, Kenneth",2023-01-23,pending sale,,
2536730589,"Cameron, Katie",,2023-02-04,relisted,,
6091585499,"Murillo, Lydia","Smith, Anthony",2021-11-04,pending sale,,
6091585499,"Murillo, Lydia","Smith, Anthony",2021-11-15,sold,634404.03,5.883523734374293
7066910929,"Coffey, Patrick","Anderson, Jacqueline",2021-11-12,pending sale,,
7066910929,"Coffey, Patrick","Anderson, Jacqueline",2021-11-18,sold,1812045.44,5.167412286342643
8126305301,"Collier, James","Mcdaniel, Jeffrey",2024-05-04,pending sale,,
8126305301,"Collier, James",,2024-05-06,relisted,,
3891892618,"Mcgrath, Alison","Hudson, Christopher",2021-06-03,pending rental,,
3891892618,"Mcgrath, Alison","Hudson, Christopher",2021-07-03,rented,1740.34,100
1296658742,"Fry, Joseph","Rios, Steven",2023-05-03,pending rental,,
1296658742,"Fry, Joseph",,2023-05-26,relisted,,
5078007095,"Gibbs, Anthony","Johnson, Keith",2023-01-22,pending rental,,
5078007095,"Gibbs, Anthony",,2023-01-26,relisted,,
1007036444,"Wood, Katelyn","Armstrong, Christopher",2022-04-03,pending rental,,
1007036444,"Wood, Katelyn","Armstrong, Christopher",2022-04-06,rented,3325.36,100
2712876766,"Mccann, Wendy","Wilson, Tonya",2023-10-23,pending rental,,
2712876766,"Mccann, Wendy","Wilson, Tonya",2023-10-31,rented,4901.35,100
2188927713,"Cruz, Pamela","Roberson, Carlos",2023-12-18,pending sale,,
2188927713,"Cruz, Pamela","Roberson, Carlos",2023-12-23,sold,1332335.92,3.317594817723216
8887288745,"Koch, Luis","King, Larry",2024-04-05,pending sale,,
8887288745,"Koch, Luis","King, Larry",2024-05-02,sold,605726.34,5.535201462043261
9781848504,"Miller, Danielle","Dennis, Rodney",2023-06-21,pending sale,,
9781848504,"Miller, Danielle","Dennis, Rodney",2023-06-26,sold,864752.52,5.991291037524528
5246177119,"Cordova, Virginia","Tapia, Jeffrey",2021-11-25,pending sale,,
5246177119,"Cordova, Virginia","Tapia, Jeffrey",2021-12-16,sold,262398.98,4.440483851901021
5489503542,"Bright, Robert","Weaver, Allison",2021-07-24,pending rental,,
5489503542,"Bright, Robert",,2021-08-05,relisted,,
7870695448,"Watson, Anthony","Rivera, Karen",2021-07-22,pending sale,,
7870695448,"Watson, Anthony","Rivera, Karen",2021-08-20,sold,776734.29,4.274074911102595
8379069633,"Murillo, Lydia","Crawford, Andrew",2022-12-21,pending sale,,
8379069633,"Murillo, Lydia","Crawford, Andrew",2023-01-18,sold,141305.09,4.953805777382401
3916988854,"Rios, Mary","Dillon, Ryan",2023-11-29,pending sale,,
3916988854,"Rios, Mary",,2023-12-11,relisted,,
1179708560,"Mccann, Wendy","Mcdaniel, Victor",2023-06-04,pending rental,,
1179708560,"Mccann, Wendy",,2023-06-26,relisted,,
6217811860,"Koch, Luis","Grimes, Emily",2021-07-08,pending rental,,
6217811860,"Koch, Luis","Grimes, Emily",2021-07-27,rented,3060.17,100
4649964286,"Harris, Jennifer","Chen, Donna",2022-08-04,pending rental,,
4649964286,"Harris, Jennifer",,2022-08-07,relisted,,
3185729035,"Fry, Joseph","Baker, Bridget",2023-09-15,pending rental,,
3185729035,"Fry, Joseph",,2023-10-01,relisted,,
6477660645,"Walker, Aaron","Murillo, Raymond",2022-05-06,pending rental,,
6477660645,"Walker, Aaron","Murillo, Raymond",2022-05-21,rented,3400.53,100
4846487971,"Harris, Jennifer","Thomas, John",2022-10-13,pending rental,,
4846487971,"Harris, Jennifer",,2022-11-04,relisted,,
8154913902,"Turner, Cynthia","Turner, Danny",2022-01-29,pending sale,,
8154913902,"Turner, Cynthia",,2022-02-06,relisted,,
5870414601,"Mata, Miranda","Powell, Patricia",2022-03-18,pending sale,,
5870414601,"Mata, Miranda",,2022-04-04,relisted,,
8200731015,"Olson, Andrea","Dixon, Nancy",2023-01-07,pending sale,,
8200731015,"Olson, Andrea","Dixon, Nancy",2023-01-18,sold,108769.28,5.356988479255331
5272194206,"Barrett, Joy","Castro, Charles",2022-01-20,pending sale,,
5272194206,"Barrett, Joy",,2022-01-25,relisted,,
3233107632,"Paul, Ashley","Mathews, Steven",2024-02-24,pending sale,,
3233107632,"Paul, Ashley","Mathews, Steven",2024-03-19,sold,1001931.74,3.8370977855835138
9706560441,"Olsen, Ann","Smith, Anthony",2022-07-19,pending sale,,
9706560441,"Olsen, Ann",,2022-08-01,relisted,,
6762538167,"Collier, James","Chapman, Harold",2021-06-27,pending rental,,
6762538167,"Collier, James","Chapman, Harold",2021-06-28,rented,3817.68,100
2686281691,"Zimmerman, Melissa","Ritter, Megan",2023-02-02,pending sale,,
2686281691,"Zimmerman, Melissa",,2023-03-04,relisted,,
8228021275,"Wheeler, Michelle","Monroe, Lance",2023-05-23,pending rental,,
8228021275,"Wheeler, Michelle","Monroe, Lance",2023-06-04,rented,5929.43,100
5938229910,"Watson, Anthony","Dennis, Rodney",2021-12-12,pending sale,,
5938229910,"Watson, Anthony",,2022-01-03,relisted,,
3982802982,"Turner, Cynthia","Carpenter, Kathleen",2021-09-05,pending sale,,
3982802982,"Turner, Cynthia",,2021-09-14,relisted,,
1640483734,"Wood, Maria","Richardson, Todd",2023-10-28,pending rental,,
1640483734,"Wood, Maria",,2023-10-30,relisted,,
9230055066,"Ross, Patricia","Thomas, Richard",2022-04-09,pending sale,,
9230055066,"Ross, Patricia",,2022-05-04,relisted,,
6556919148,"Ross, Molly","Duncan, Karen",2024-01-27,pending rental,,
6556919148,"Ross, Molly",,2024-02-10,relisted,,
9371925536,"Hopkins, Andrew","Saunders, Allison",2022-07-05,pending rental,,
9371925536,"Hopkins, Andrew","Saunders, Allison",2022-07-31,rented,2045.42,100
5473354479,"Harris, Jennifer","Williams, Rebecca",2023-06-25,pending sale,,
5473354479,"Harris, Jennifer",,2023-07-21,relisted,,
3403730778,"Paul, Ashley","Johnston, Beth",2021-10-19,pending sale,,
3403730778,"Paul, Ashley",,2021-11-06,relisted,,
5947287362,"Evans, Teresa","Carpenter, Kathleen",2021-07-24,pending sale,,
5947287362,"Evans, Teresa",,2021-08-13,relisted,,
4130146192,"Perry, Cynthia","Richmond, Robert",2022-03-03,pending sale,,
4130146192,"Perry, Cynthia",,2022-03-11,relisted,,
1125059838,"Diaz, Bianca","Ortega, Benjamin",2024-02-18,pending rental,,
1125059838,"Diaz, Bianca",,2024-03-09,relisted,,
8236741468,"Dodson, Rhonda","Kline, Curtis",2021-08-19,pending sale,,
8236741468,"Dodson, Rhonda","Kline, Curtis",2021-09-07,sold,1272519.63,3.391969765902649
5848834121,"Wheeler, Michelle","Roberson, Carlos",2022-05-19,pending sale,,
5848834121,"Wheeler, Michelle",,2022-06-08,relisted,,
6309896019,"Watson, Samantha","Wilson, Jacqueline",2023-01-29,pending rental,,
6309896019,"Watson, Samantha","Wilson, Jacqueline",2023-02-20,rented,3541.92,100
8244727394,"Leon, Patrick","Bolton, Kristin",2021-05-25,pending sale,,
8244727394,"Leon, Patrick","Bolton, Kristin",2021-06-02,sold,2237039.96,3.0263830183079383
4272527643,"Walsh, Timothy","Wilson, Jamie",2022-01-28,pending rental,,
4272527643,"Walsh, Timothy",,2022-02-02,relisted,,
8909794996,"Bright, Robert","Allen, Shirley",2023-05-29,pending sale,,
8909794996,"Bright, Robert","Allen, Shirley",2023-06-15,sold,1601325.65,5.5403580517690845
1349592159,"Olson, Andrea","Valenzuela, Brandon",2022-08-25,pending rental,,
1349592159,"Olson, Andrea",,2022-09-20,relisted,,
4492646825,"Coffey, Patrick","Escobar, Peggy",2024-04-08,pending sale,,
4492646825,"Coffey, Patrick","Escobar, Peggy",2024-04-21,sold,616661.05,5.606290311172384
6849837534,"Klein, Brian","Rogers, Heather",2023-11-10,pending rental,,
6849837534,"Klein, Brian",,2023-12-01,relisted,,
4677453554,"Watson, Anthony","Lindsey, Stephanie",2023-10-25,pending sale,,
4677453554,"Watson, Anthony",,2023-11-06,relisted,,
6933223565,"Willis, Stephanie","Gibbs, Angela",2023-09-04,pending rental,,
6933223565,"Willis, Stephanie","Gibbs, Angela",2023-09-18,rented,5172.46,100
9701212379,"Clements, Derek","Evans, Brittany",2024-01-25,pending sale,,
9701212379,"Clements, Derek",,2024-02-15,relisted,,
4516566487,"Bradley, Michael","Salazar, Denise",2021-06-09,pending sale,,
4516566487,"Bradley, Michael",,2021-06-16,relisted,,
8733157676,"Adams, Ashley","Jones, Stephanie",2023-05-11,pending sale,,
8733157676,"Adams, Ashley","Jones, Stephanie",2023-05-26,sold,619203.39,3.126834217497144
4054594084,"Willis, Stephanie","Garcia, Linda",2021-12-29,pending rental,,
4054594084,"Willis, Stephanie","Garcia, Linda",2022-01-11,rented,4402.58,100
5542612392,"Skinner, Aaron","Barrera, Michael",2023-08-04,pending rental,,
5542612392,"Skinner, Aaron","Barrera, Michael",2023-08-11,rented,1914.62,100
1069301989,"Roberts, Sandra","Francis, Derek",2021-10-06,pending rental,,
1069301989,"Roberts, Sandra","Francis, Derek",2021-11-04,rented,2045.11,100
9820134585,"Diaz, Bianca","Richards, Brittany",2023-01-09,pending sale,,
9820134585,"Diaz, Bianca","Richards, Brittany",2023-01-16,sold,637446.2,3.5021936558648354
4279198694,"Coleman, Katherine","Carney, Annette",2021-08-23,pending sale,,
4279198694,"Coleman, Katherine","Carney, Annette",2021-08-31,sold,1551444.62,3.1841140003109754
6008161321,"Moore, Robert","King, Dana",2024-02-25,pending sale,,
6008161321,"Moore, Robert",,2024-03-24,relisted,,
9957260041,"Brown, John","Wells, Jacob",2024-02-10,pending sale,,
9957260041,"Brown, John",,2024-02-29,relisted,,
7314189443,"Roberts, Sandra","Mueller, William",2022-02-01,pending rental,,
7314189443,"Roberts, Sandra","Mueller, William",2022-02-24,rented,4696.31,100
6978233189,"Carlson, Megan","Collier, Stacey",2024-04-24,pending rental,,
6978233189,"Carlson, Megan",,2024-04-28,relisted,,
3610247422,"Olson, Andrea","Cooper, Monica",2022-11-21,pending rental,,
3610247422,"Olson, Andrea",,2022-12-12,relisted,,
4124604476,"Paul, Ashley","Brown, Matthew",2023-02-23,pending sale,,
4124604476,"Paul, Ashley",,2023-03-06,relisted,,
2970238604,"Clements, Derek","Ortiz, John",2023-09-29,pending rental,,
2970238604,"Clements, Derek","Ortiz, John",2023-10-18,rented,3631.04,100
9925890540,"Campos, Michael","Martinez, Alex",2022-08-27,pending sale,,
9925890540,"Campos, Michael","Martinez, Alex",2022-09-09,sold,2018098.58,4.75561552673332
7544643653,"Coleman, Katherine","Bailey, Eric",2023-01-22,pending rental,,
7544643653,"Coleman, Katherine","Bailey, Eric",2023-02-19,rented,5091.95,100
6865394995,"Cameron, Katie","Perez, Monica",2021-11-23,pending rental,,
6865394995,"Cameron, Katie","Perez, Monica",2021-12-12,rented,3531.5,100
3361937279,"Anderson, Joseph","Waller, Thomas",2022-02-20,pending rental,,
3361937279,"Anderson, Joseph","Waller, Thomas",2022-02-25,rented,3794.75,100
9593412636,"Obrien, Stephanie","Guerrero, Lori",2023-11-04,pending rental,,
9593412636,"Obrien, Stephanie","Guerrero, Lori",2023-11-09,rented,4419.59,100
4780165153,"Shaw, Thomas","Ortega, Matthew",2022-05-15,pending rental,,
4780165153,"Shaw, Thomas",,2022-05-23,relisted,,
2534365266,"Thomas, Kenneth","Stevens, Miguel",2021-11-20,pending sale,,
2534365266,"Thomas, Kenneth",,2021-11-24,relisted,,
2843255367,"Andrews, Faith","Montgomery, Jorge",2022-11-09,pending sale,,
2843255367,"Andrews, Faith",,2022-11-17,relisted,,
4054264765,"Jones, Sarah","David, Matthew",2022-10-10,pending rental,,
4054264765,"Jones, Sarah",,2022-11-04,relisted,,
1960587642,"Norris, Joshua","Duncan, Karen",2023-04-04,pending rental,,
1960587642,"Norris, Joshua","Duncan, Karen",2023-04-11,rented,5384.25,100
7006094371,"Frye, Angela","Carlson, William",2022-02-27,pending rental,,
7006094371,"Frye, Angela","Carlson, William",2022-03-04,rented,4026.41,100
8529292805,"Ross, Molly","Thomas, Antonio",2022-09-25,pending rental,,
8529292805,"Ross, Molly",,2022-09-29,relisted,,
9279409184,"Clements, Derek","Kaiser, Tiffany",2023-05-15,pending sale,,
9279409184,"Clements, Derek","Kaiser, Tiffany",2023-06-10,sold,1009413.54,4.667622873917014
9326538043,"Romero, Diane","Smith, Scott",2022-05-23,pending sale,,
9326538043,"Romero, Diane",,2022-05-26,relisted,,
5814738596,"Grant, Douglas","Wilkins, Holly",2023-01-21,pending sale,,
5814738596,"Grant, Douglas","Wilkins, Holly",2023-02-04,sold,2220818.42,3.291472320276189
1460844986,"Gonzales, Catherine","Boyd, Luke",2024-04-12,pending sale,,
1460844986,"Gonzales, Catherine","Boyd, Luke",2024-05-09,sold,259854.39,3.117194267852292
5876272051,"Moore, Robert","Stanley, Ashley",2021-10-01,pending rental,,
5876272051,"Moore, Robert",,2021-10-20,relisted,,
8960971197,"Romero, Diane","Jones, Dorothy",2022-08-21,pending rental,,
8960971197,"Romero, Diane",,2022-09-18,relisted,,
3742400768,"Collier, James","Wilkerson, Abigail",2022-04-12,pending sale,,
3742400768,"Collier, James",,2022-05-06,relisted,,
4429598131,"Taylor, Richard","Morris, Ian",2021-10-16,pending sale,,
4429598131,"Taylor, Richard",,2021-10-17,relisted,,
5814115067,"Cameron, Katie","Foster, Michael",2023-11-25,pending rental,,
5814115067,"Cameron, Katie","Foster, Michael",2023-12-08,rented,3670.68,100
4588653918,"Thomas, Kenneth","Ortega, Benjamin",2023-11-07,pending rental,,
4588653918,"Thomas, Kenneth","Ortega, Benjamin",2023-12-02,rented,2563.05,100
6498747670,"Gonzales, Catherine","Mitchell, Michelle",2022-08-22,pending sale,,
6498747670,"Gonzales, Catherine",,2022-08-26,relisted,,
7218776805,"Fry, Joseph","Smith, Jennifer",2023-09-23,pending rental,,
7218776805,"Fry, Joseph","Smith, Jennifer",2023-10-20,rented,3137.34,100
3491126140,"Taylor, Jessica","Arias, Rebecca",2022-02-02,pending sale,,
3491126140,"Taylor, Jessica",,2022-02-03,relisted,,
2575126600,"Jones, Sarah","Roberts, Craig",2022-07-15,pending rental,,
2575126600,"Jones, Sarah",,2022-08-07,relisted,,
6059534640,"Howard, Katherine","Hansen, Jennifer",2021-04-28,pending rental,,
6059534640,"Howard, Katherine","Hansen, Jennifer",2021-05-25,rented,1800.57,100
7360665089,"Terry, Zachary","Kramer, Dakota",2023-12-21,pending rental,,
7360665089,"Terry, Zachary","Kramer, Dakota",2024-01-05,rented,4743.46,100
